Adele Goldberg
Adele Goldstine
Alexandra Elbakyan
Allison Randal
Anita Borg
Arfa Karim Randhawa
Barbara Liskov
Betty Holberton
Bonnie Berger
Clarisse Sieckenius
Daphne Koller
Dorit Aharonov
Emma Haruka Iwao
Éva Tardos
Evelyn Boyd Granville
Frances Allen
Frances Spence
Ginni Rometty
Grace Hopper
Jaime Teevan
Jean Bartik
Jean E. Sammet
Jessica Fridrich
Joan Feigenbaum
Joyce K. Reynolds
Karen Aardal
Karen Spärck Jones
Katie Bouman
Leah Jamieson
Lois Haibt
Lynn Conway
Manuela M. Veloso
Margaret Hamilton
Margaret Oakley Dayhoff
Maria Klawe
Marissa Mayer
Mary Shaw
Nancy Hafkin
Nancy Lynch
Nicola Pellow
Radia Perlman
Ruth Misener
Ruzena Bajcsy
Sally Floyd
Shafrira Goldwasser
Sibyl Martha Rock
Sophie Wilson
Toniann Pitassi
Valeria de Paiva
Valerie Aurora
Wendy Kellogg
Yael Tauman Kalai
